epoch,acc,loss,lr,val_acc,val_loss
0,0.24481834186939821,2944.6817397192103,0.001,0.2993,2944.55348515625
1,0.3247878642331092,2944.458945209309,0.001,0.3383,2944.399980859375
2,0.3607508805635607,2944.3560307503053,0.001,0.3329,2944.477355078125
3,0.3810838936919629,2944.2911388288503,0.001,0.3929,2944.263473046875
4,0.39237111751520976,2944.2622405683387,0.001,0.3748,2944.311148046875
5,0.40609990393852063,2944.2274744899237,0.001,0.3204,2944.670550390625
6,0.4184478065962216,2944.201899528198,0.001,0.4265,2944.171759765625
7,0.42681316042267053,2944.180664140675,0.001,0.2949,2944.8562171875
8,0.4334173871277618,2944.163735102966,0.001,0.4142,2944.193483203125
9,0.43687960294588535,2944.1511855869007,0.001,0.3792,2944.346375390625
10,0.4436239193083574,2944.129604743911,0.001,0.4197,2944.229550390625
11,0.4501280819724624,2944.1144372241984,0.0003162278,0.3827,2944.3351890625
12,0.45803314121037464,2944.0970540677285,0.001,0.4106,2944.226710546875
